Science Department Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Section Guide:,Row 10:  Standard Glassware / Plasticware,,,,* Storage location refers to a cabinet or shelf number.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note - if you click ""ctrl G"" and type A and then the row number, you can jump to a specific section",Row  68: Specialty Glassware,,,,"If you do not (yet) have reference numbers or cabinet labels, leave that space blank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Row 129: General Labware / equipment,,,,Please consider having shelf numbers for ease of finding equipment.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Row 286: Non-chemical Consumable Equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Roq 326: Other Measurement and Safety Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For example, ""ctrl G, A68"" will jump to section 2",Row 391: Vernier Interfaces and Probeware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scroll Across to find Room #   →→,1107,,,,1109,,,,,1111,,,,,1115,,,,,1207,,,,,1306,,,,,1307,,,,,1310,,,,,1311,,,,,1407,,,,,1419,,,,,1421,,,,,2107,,,,,2109,,,,,2111,,,,,2115,,,
Item:,Description:,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments
Section 1: Typical Glassware / plasticware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Beakers, borosilicate glass (pyrex)",20 mL,,,9,middle cabinet on right wall,,,,,,,,-,,,,,0,,,,,0,,,,,0,,,,,,,,,,1,,,,,,,,,,1,,,C1-B,,11,,,,,,,,,,,,,,,,,,,,,,,,,,
,50 mL,,,13,,,,,,,CAB #2,,9,,,,,0,,,,,33,,,,,0,,,,,4,,,,,13,,,,,,,,,,3,,,C1-B,,15,,,,,,,,,,,,,,,,,,lab stations,4,4,,,,,,
,100 mL,,,0,,,,,,,CAB #2,,15,,,,,0,,,,,10,,,,,0,,,,,14,,,,,14,,,,,,,,,,1,,,C1-B,,22,,,,,,,,,,,,,,,,,,lab stations,10,11,,,,,,
