Supplies Specific to Life Sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Scroll Across to find Room #   →→,1107,,,,1109,,,1207,,,,1307,,,,1310 Storeroom,,,,1311,,,,1407,,,,1421,,,
Item:,Description:,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments
Gel Electrophoresis and Biotechnology Supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gel boxes,gel box trays-shorter,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,gel box trays-longer,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,gel boxes,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,gel box lids,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
black dams,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Combs,white,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,blue,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,"long clear, w/ white ",,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,clear,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,orange,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Centrifuge and supplies,centrifuge tubes (boxes of 500),,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,plastic centrifuge tube holders,,,16,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Mini/micro centrifuges,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,random black mini centrifuge,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,microcentrifuge foams,,,2 boxes,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,microcentrifuge trays,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
clear plastic trays,staining trays,,,30,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Cooler,"personal ice chest, small",,,4,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Light boxes,,,,12,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Micropipette tips,Tip boxes,,,64,these are mostly for p10 size,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Tip Boxes 1000 Pipettes,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,blue micropipette tips (in plastic packaging),,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Yellow Tips (1 box/200 tips),,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,blue tips (1 box/200 tips),,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Microwaves,,,,1,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,
Mini-Pipettes,Small,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,medium,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,large,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
pipette accessories,TAE buffer 20X (100 ml each),,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,TAE buffer 50X (100 ml each),,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,TAE buffer 10X-1 Liter,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Agarose,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,BioRad/Quick View Stain-100 ml,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Carolina Blue Stain -50 ml,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Carolina Blue Stain-250 ml,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,wards DNA stains (20 ml),,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Power Supplies,"low volt, 25/50",,,3,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,low volt 70/125,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Tetrasource 300 power supply,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Edvotek Power Supply Purple,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Protein Electrophoresis Machine,,,,8,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
UV Lights,regular,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,small,,,28,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Vortexer,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Water bath,large,,,2,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miscellaneous Equipment :),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sterile inocculating loops,,,,1 box,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Plastic mini test tubes,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Q-tips,,,,1/2 box,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
gum arabic,,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
gelatin boxes,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
dialysis tubing,,,,3.5,rolls,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Pipe cleaners/Chenille Stems,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Cell Reproduction/Mitosis supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Microscope Slides, mitosis Specimens (gen bio)",Slides Onion Root Tip,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Mitosis Models (each a different stage),,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Mitosis Cards,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Mitosis Felt Models,,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification -- relevant equipment and supplies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Specimens,fungi,,,0,,,,,,,0,,,,,,bottom shelf,,2 boxes,,,,,,,,,,,,,
,cnidaria,,,0,,,,,,,0,,,,,,second shelf ,,2 boxes,,,,,,,,,,,,,
,annelids,,,0,,,,,,,0,,,,,,second shelf ,,1 tray,,,,,,,,,,,,,
,echinoderm,,,0,,,,,,,0,,,,,,bottom shelf,,1 box,,,,,,,,,,,,,
,arthropods,,,0,,,,,,,0,,,,,,4th shelf,,2 boxes,,,,,,,,,,,,,
,nematoda,,,0,,,,,,,0,,,,,,4th shelf,,1 box,,,,,,,,,,,,,
,Mollusks,,,0,,,,,,,0,,,,,,bottom shelf,,1 box,,,,,,,,,,,,,
,chordata,,,0,,,,,,,0,,,,,,top shelf,,2 boxes,,,,,,,,,,,,,
,protoclista,,,0,,,,,,,0,,,,,,second shelf ,,1 box,,,,,,,,,,,,,
,porifera,,,0,,,,,,,0,,,,,,second shelf ,,1 box,,,,,,,,,,,,,
,platyhelminthes,,,0,,,,,,,0,,,,,,4th shelf,,1 box,,,,,,,,,,,,,
Classification packets,,,,0,,,,,,,0,,,,,,,,2 kits,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microscopy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lens Care supplies,lens cleaner solution,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,"lens paper/wipes, packs",,,5,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
Microscopes,Compound,,,21,these are the OLD scopes from when SHS opened! ,,,,,,18,,,,62,"44 in 1307 prep room,  18 in classroom ",,,26,,,,,,,,,,,,,
,Dissecting,,,0,,,,,,,0,,,,,,,,5,,,,,,,,,,,,,
Microscope Accessories,"Covers, plastic",,,21,,,,,,,18,,,,1 box,extras,,,,,,,,,,,,,,,,
,Eyepiece connectors (rubber),,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,Power Cords (detachable),,,0,,,,,,,18,,,,1 box,unclaimed cords (extras),,,,,,,,,,,,,,,,
,Doskogil Document Camera + Suitcase,,,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,USB Cables,,,0,,,,,,,0,,,,1 box,extras,,,,,,,,,,,,,,,,
Microscope Camera,attachment for phone,,,1,,,,,,,0,,,,,,,,,,,,,,,,,,,,,
,"Camera, stand alone",,,0,,,,,,,0,,,,2,canon powershot A2300 digital cameras,,,,,,,,,,,,,,,,
