,Scroll Across to find Room #   →→,1109,,,,1111,,,,1115,,,,1306,,,,1419,,,,2107,,,,2109,,,,2111,,,,2115,,,
Item:,Description:,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2025,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2025,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments,Storage Location,Quanitity Spring 2026,Quantity     Spring 2024,Notes/comments
Astronomy Supplies (primarily),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D Constellations ,Pipecleaners (Black - packages),,,,,,,-,,Drawer D,,~400,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,Pony Beads (glow in dark - packages),,,,,,,-,,Drawer D,,~600,,,,,,,,,,,,0,,,,,,,0,0,,,,,
Alien Eyes,Wizard Glasses,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
Build - a -Solar System,Dice,,,,,,,-,,Drawer C,,6 dozen,,,,,,,,,,,,0,,,,,,,0,0,,,,,
Celestial Sphere,,,,,,,,-,,Stations 1-6,,10,,,,,,,,,,,,0,,,,,,,0,0,,,,,
Curvature of the Universe,Small Foam Sphere,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,Medium Foam Sphere,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,Large Foam Sphere,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
Flashcard Sets,Astrobiology,,,,,,,-,,Drawer C,,16,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,Sorting the Solar System,,,,,,,-,,Drawer C,,16,,,,,,,,,,,,0,,,,,,,0,0,,,,,
Hubble's Law,Balloons,,,,,,,-,,Drawer E,,17,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,Blue Mini Circle Labels,,,,,,,-,,Drawer E,,~1000,,,,,,,,,,,,0,,,,,,,0,0,,,,,
Scale of the Solar System,Reciept Tape (Rolls),,,,,,,-,,Drawer E,,11,,,,,,,,,,,,0,,,,,,,0,0,,,,,
Chemistry Supplies (primarily),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-d magnetic molecule demo kit,,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brownlee  Apparatus,,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunsen Burner,With no tubing,,,,,,,-,,,,0,,,,,,3C-L,,46,,,,16,,,,,,lab stations ,9,9,,,,,
,With tubing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,spare rubber tubing,,,,,,,-,,,,0,,,,,,,, ,,,,0,,,,,,lab stations ,2,2,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burettes,"25mL, w/stopcock",,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,"50mL, w/stopcock",,,,,,,-,,,,0,,,,,,Wall,,17,,,,0,,,,,,,0,0,,,,,
,"50mL, w/o stopcock",,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,"50mL, w/plastic & stopcock",,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,"50mL, w/o plastic & stopcock",,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Candles,various sizes,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Capillary Tubes,for melting point,,,,,,,,,,,,,,,,,C2-C,,50,150 mm closed end,,,0,,,,,,,,,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centrifuge,,,,,,,,-,,,,0,,,,,,C5-A,,1,,,,0,,,,,,,0,0,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clay Triangle,various sizes,,,,,,,-,,,,0,,,,,,C2-A,,26,,,,0,,,,,,lab stations ,4,4,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cobalt Glass,squares,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Condensor,,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Conductivity testers,,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crucibles,"Gooch, Filtering w/ cover",,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,Porcelain 15 ml,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,Crucible Porcelain Covers,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,"Metal with Covers, 30 ml",,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dispenser (Chemical),5-50ml,,,,,,,,,,,,,,,,,C5-C,,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desicator,,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
Electrolysis,Electrodes,,,,,,,,,,,,,,,,,C3-A,,22,,,,,,,,,,,,,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Filter Flasks,500 mL,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,1000 mL,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,2000 mL,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
Fleaker,300 mL,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,500 mL,,,,,,,-,,,,0,,,,,,C2-C,,2,,,,0,,,,,,,0,0,,,,,
,1 L,,,,,,,-,,,,0,,,,,,C2-C,,7,,,,0,,,,,,,0,0,,,,,
,2 L,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
"Funnels, Buchner","Plastic, 30 mL",,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,lab stations ,13,15,,,,,
,Porcelain,,,,,,,-,,,,0,,,,,,,,,,,,0,,,,,,,0,0,,,,,
,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
